#EleNb	X	Y	Z	Solution	Assigned	Total
186	0.0355	0	-0.005	-6.710733725399612e-08	0	-6.710733725399612e-08
187	0.0365	0	-0.005	-6.441933508569083e-08	0	-6.441933508569083e-08
188	0.0375	0	-0.005	-4.777849280515296e-08	0	-4.777849280515296e-08
189	0.0385	0	-0.005	-4.527933715491647e-06	0	-4.527933715491647e-06
190	0.0395	0	-0.005	0.0001474052758835169	0	0.0001474052758835169
191	0.0405	0	-0.005	9.857387970514958e-06	0	9.857387970514958e-06
192	0.0415	0	-0.005	9.775710271727435e-05	0	9.775710271727435e-05
193	0.0425	0	-0.005	-5.096681898956885e-05	0	-5.096681898956885e-05
194	0.0435	0	-0.005	-0.0001744366076818766	0	-0.0001744366076818766
195	0.0445	0	-0.005	-0.0002369605968572585	0	-0.0002369605968572585
196	0.0455	0	-0.005	-6.982925001079487e-05	0	-6.982925001079487e-05
197	0.0465	0	-0.005	4.763708854262068e-05	0	4.763708854262068e-05
198	0.0475	0	-0.005	1.919009461474157e-05	0	1.919009461474157e-05
199	0.0485	0	-0.005	0.0002192706977880318	0	0.0002192706977880318
200	0.0495	0	-0.005	-3.574772253195036e-05	0	-3.574772253195036e-05
201	0	-0.0495	0	-5.422419388506831e-05	0	-5.422419388506831e-05
202	0	-0.0485	0	0.000825304515276955	0	0.000825304515276955
203	0	-0.0475	0	-0.001291436677186351	0	-0.001291436677186351
204	0	-0.0465	0	-0.001346637028159782	0	-0.001346637028159782
205	0	-0.0455	0	0.0003334292734381847	0	0.0003334292734381847
206	0	-0.0445	0	0.00232014792413961	0	0.00232014792413961
207	0	-0.0435	0	0.001425346162753692	0	0.001425346162753692
208	0	-0.0425	0	-0.001455457573558159	0	-0.001455457573558159
209	0	-0.0415	0	-0.0006242375814920848	0	-0.0006242375814920848
210	0	-0.0405	0	-0.00027520159697031	0	-0.00027520159697031
211	0	-0.0395	0	0.0002705245628600197	0	0.0002705245628600197
212	0	-0.0385	0	-8.9172947879821e-06	0	-8.9172947879821e-06
213	0	-0.0375	0	-2.650889132491117e-07	0	-2.650889132491117e-07
214	0	-0.0365	0	-3.031236213062004e-07	0	-3.031236213062004e-07
215	0	-0.0355	0	-4.542807880867169e-07	0	-4.542807880867169e-07
216	0	-0.0345	0	-4.568588996040902e-07	0	-4.568588996040902e-07
217	0	-0.0335	0	-4.145119918761387e-07	0	-4.145119918761387e-07
218	0	-0.0325	0	-3.660229567295243e-07	0	-3.660229567295243e-07
219	0	-0.0315	0	-2.722551887050401e-07	0	-2.722551887050401e-07
220	0	-0.0305	0	-1.641959237182693e-07	0	-1.641959237182693e-07
221	0	-0.0295	0	4.930401058494829e-08	0	4.930401058494829e-08
222	0	-0.0285	0	2.269382638534483e-07	0	2.269382638534483e-07
223	0	-0.0275	0	-5.387000510485174e-05	0	-5.387000510485174e-05
224	0	-0.0265	0	0.0008258617811749951	0	0.0008258617811749951
225	0	-0.0255	0	-0.001290711145707342	0	-0.001290711145707342
226	0	-0.0245	0	-0.001345757894538792	0	-0.001345757894538792
227	0	-0.0235	0	0.0003345183707210194	0	0.0003345183707210194
228	0	-0.0225	0	0.002321414562309421	0	0.002321414562309421
229	0	-0.0215	0	0.001426833493958628	0	0.001426833493958628
230	0	-0.0205	0	-0.001453717027413433	0	-0.001453717027413433
231	0	-0.0195	0	-0.0006222411392228241	0	-0.0006222411392228241
232	0	-0.0185	0	-0.0002729366944211205	0	-0.0002729366944211205
233	0	-0.0175	0	0.0002730738750214853	0	0.0002730738750214853
234	0	-0.0165	0	-6.012393051067706e-06	0	-6.012393051067706e-06
235	0	-0.0155	0	3.010928165974919e-06	0	3.010928165974919e-06
236	0	-0.0145	0	3.367429220154629e-06	0	3.367429220154629e-06
237	0	-0.0135	0	3.740249465255981e-06	0	3.740249465255981e-06
238	0	-0.0125	0	4.314969179206346e-06	0	4.314969179206346e-06
239	0	-0.0115	0	4.995207391700725e-06	0	4.995207391700725e-06
240	0	-0.0105	0	5.816589614921752e-06	0	5.816589614921752e-06
241	0	-0.0095	0	6.702544438296354e-06	0	6.702544438296354e-06
242	0	-0.0085	0	7.816762987578751e-06	0	7.816762987578751e-06
243	0	-0.0075	0	9.216245424741117e-06	0	9.216245424741117e-06
244	0	-0.0065	0	1.068771085383345e-05	0	1.068771085383345e-05
245	0	-0.0055	0	-4.190477422029022e-05	0	-4.190477422029022e-05
246	0	-0.0045	0	0.0008394472652480452	0	0.0008394472652480452
247	0	-0.0035	0	-0.001275393941029407	0	-0.001275393941029407
248	0	-0.0025	0	-0.001328769364649311	0	-0.001328769364649311
249	0	-0.0015	0	0.0003527975436095895	0	0.0003527975436095895
250	0	-0.0005	0	0.002340385377279499	0	0.002340385377279499
251	0	0.0005	0	0.001445604667364272	0	0.001445604667364272
252	0	0.0015	0	-0.001436031242763955	0	-0.001436031242763955
253	0	0.0025	0	-0.0006062446998604327	0	-0.0006062446998604327
254	0	0.0035	0	-0.0002590179977511758	0	-0.0002590179977511758
255	0	0.0045	0	0.0002848539275166683	0	0.0002848539275166683
256	0	0.0055	0	3.695909778848019e-06	0	3.695909778848019e-06
257	0	0.0065	0	1.067646553887708e-05	0	1.067646553887708e-05
258	0	0.0075	0	9.197663168460273e-06	0	9.197663168460273e-06
259	0	0.0085	0	7.831995482211825e-06	0	7.831995482211825e-06
260	0	0.0095	0	6.711980576299781e-06	0	6.711980576299781e-06
261	0	0.0105	0	5.794453292122978e-06	0	5.794453292122978e-06
262	0	0.0115	0	5.01823060764803e-06	0	5.01823060764803e-06
263	0	0.0125	0	4.291166491230604e-06	0	4.291166491230604e-06
264	0	0.0135	0	3.762378098546535e-06	0	3.762378098546535e-06
265	0	0.0145	0	3.392036576243826e-06	0	3.392036576243826e-06
266	0	0.0155	0	2.990150908354621e-06	0	2.990150908354621e-06
267	0	0.0165	0	-5.158502029278438e-05	0	-5.158502029278438e-05
268	0	0.0175	0	0.000827685771818767	0	0.000827685771818767
269	0	0.0185	0	-0.001289319159521861	0	-0.001289319159521861
270	0	0.0195	0	-0.001344776449603159	0	-0.001344776449603159
271	0	0.0205	0	0.0003350952188342238	0	0.0003350952188342238
272	0	0.0215	0	0.002321636172326281	0	0.002321636172326281
273	0	0.0225	0	0.001426645158715471	0	0.001426645158715471
274	0	0.0235	0	-0.001454322713795743	0	-0.001454322713795743
275	0	0.0245	0	-0.0006232088783138539	0	-0.0006232088783138539
276	0	0.0255	0	-0.0002743216762750181	0	-0.0002743216762750181
277	0	0.0265	0	0.0002712617835174659	0	0.0002712617835174659
278	0	0.0275	0	-8.282425477994206e-06	0	-8.282425477994206e-06
279	0	0.0285	0	2.065786297361349e-07	0	2.065786297361349e-07
280	0	0.0295	0	4.67758232191615e-08	0	4.67758232191615e-08
281	0	0.0305	0	-1.477298288349183e-07	0	-1.477298288349183e-07
282	0	0.0315	0	-2.718701579660978e-07	0	-2.718701579660978e-07
283	0	0.0325	0	-3.43059891025624e-07	0	-3.43059891025624e-07
284	0	0.0335	0	-4.078886630504637e-07	0	-4.078886630504637e-07
285	0	0.0345	0	-4.699267418595795e-07	0	-4.699267418595795e-07
286	0	0.0355	0	-4.352251148203547e-07	0	-4.352251148203547e-07
287	0	0.0365	0	-2.924406870583714e-07	0	-2.924406870583714e-07
288	0	0.0375	0	-2.686437433313138e-07	0	-2.686437433313138e-07
289	0	0.0385	0	-5.447763491771412e-05	0	-5.447763491771412e-05
290	0	0.0395	0	0.0008251134954729526	0	0.0008251134954729526
291	0	0.0405	0	-0.001291579744703062	0	-0.001291579744703062
292	0	0.0415	0	-0.001346734572115107	0	-0.001346734572115107
293	0	0.0425	0	0.0003333767973097482	0	0.0003333767973097482
294	0	0.0435	0	0.002320155924775274	0	0.002320155924775274
295	0	0.0445	0	0.001425353142176252	0	0.001425353142176252
296	0	0.0455	0	-0.001455409863464742	0	-0.001455409863464742
297	0	0.0465	0	-0.0006240920176985987	0	-0.0006240920176985987
298	0	0.0475	0	-0.0002750035747218294	0	-0.0002750035747218294
299	0	0.0485	0	0.000270749076895677	0	0.000270749076895677
300	0	0.0495	0	-8.642897579097625e-06	0	-8.642897579097625e-06
#NbSystemChargeZero	VSystemChargeZero
301	875.116
