#Row	GivenPot	Error
187	0	5.41498e-08
188	0	5.79649e-08
189	0	6.09954e-08
190	0	6.67555e-08
191	0	6.96725e-08
192	0	8.23618e-08
193	0	8.09492e-08
194	0	8.14412e-08
195	0	8.36703e-08
196	0	9.58894e-08
197	0	1.04812e-07
198	0	1.08231e-07
199	0	1.13714e-07
200	0	1.23904e-07
201	2100	7.0836e-08
202	2100	1.62245e-08
203	2100	5.27843e-08
204	2100	3.75726e-08
205	2100	5.09999e-08
206	2100	7.89896e-09
207	2100	9.84769e-08
208	2100	5.48926e-08
209	2100	7.80483e-08
210	2100	1.04162e-07
211	2100	9.87857e-08
212	2100	7.3198e-08
213	2100	7.19474e-08
214	2100	7.20656e-08
215	2100	6.29225e-08
216	2100	8.45112e-08
217	2100	5.51354e-08
218	2100	9.09458e-08
219	2100	7.20247e-08
220	2100	6.31335e-08
221	2100	7.46604e-08
222	2100	1.09749e-07
223	2100	1.66392e-08
224	2100	9.6838e-08
225	2100	4.32792e-08
226	2100	7.81838e-08
227	2100	4.87494e-08
228	2100	1.10336e-07
229	2100	3.35585e-08
230	2100	1.20206e-07
231	2100	5.83168e-08
232	2100	6.8479e-08
233	2100	4.30018e-08
234	2100	5.78166e-08
235	2100	3.75439e-09
236	2100	6.52303e-08
237	2100	6.15819e-08
238	2100	9.28903e-08
239	2100	1.02213e-07
240	2100	8.73542e-08
241	2100	4.80959e-08
242	2100	7.89487e-08
243	2100	3.50324e-08
244	2100	3.50133e-08
245	2100	7.8252e-08
246	2100	5.29872e-08
247	2100	3.64917e-08
248	2100	1.15485e-07
249	2100	7.17755e-08
250	2100	5.3888e-08
251	2100	6.36555e-09
252	2100	3.11265e-08
253	2100	2.01453e-08
254	2100	2.48797e-08
255	2100	8.25366e-10
256	2100	4.84556e-08
257	2100	9.24865e-09
258	2100	2.6419e-08
259	2100	4.6201e-08
260	2100	2.7735e-08
261	2100	3.18505e-09
262	2100	7.08496e-10
263	2100	2.74076e-08
264	2100	6.71607e-08
265	2100	8.29959e-08
266	2100	1.01858e-07
267	2100	5.07857e-08
268	2100	1.51176e-08
269	2100	6.19198e-08
270	2100	7.98486e-08
271	2100	8.58045e-08
272	2100	4.815e-08
273	2100	5.81381e-08
274	2100	5.4607e-08
275	2100	9.11341e-08
276	2100	9.3356e-08
277	2100	8.6382e-08
278	2100	7.31761e-08
279	2100	7.00047e-08
280	2100	1.00338e-07
281	2100	9.36552e-08
282	2100	8.49213e-08
283	2100	1.07239e-07
284	2100	2.22662e-08
285	2100	7.70169e-08
286	2100	4.34766e-08
287	2100	4.12856e-08
288	2100	4.1322e-08
289	2100	7.41848e-08
290	2100	2.73499e-08
291	2100	3.24208e-08
292	2100	3.05199e-08
293	2100	5.03651e-08
294	2100	6.0154e-09
295	2100	3.5242e-08
296	2100	3.68464e-08
297	2100	3.63711e-08
298	2100	7.29551e-09
299	2100	2.85536e-08
300	2100	4.67435e-09
301	0	4.99368e-22
#Error maximum on element 230 and its magnitude is 1.20206e-07.
